,1,2,3
1.76,1.2318839266133359e-05,2.99400145165821e-05,1.2231312225565475e-07
1.77,1.2634127782270804e-05,3.116505649768141e-05,1.3263651755329698e-07
1.78,1.2956895435958973e-05,3.2435789107279876e-05,1.4379354507863845e-07
1.79,1.3287302646228198e-05,3.375371430838604e-05,1.5584817837359472e-07
1.8,1.3625512801697331e-05,3.5120374642668724e-05,1.688690134851751e-07
1.81,1.397169230289092e-05,3.653735395802857e-05,1.8292957923365485e-07
1.82,1.4326010604822818e-05,3.8006278133554126e-05,1.981086664151471e-07
1.83,1.4688640259836037e-05,3.952881580098347e-05,2.1449067694917914e-07
1.84,1.5059756960690729e-05,4.110667906180295e-05,2.3216599402440185e-07
1.85,1.5439539583888498e-05,4.2741624199066956e-05,2.5123137434052806e-07
1.86,1.58281702332278e-05,4.443545238297117e-05,2.717903635893439e-07
1.87,1.622583428357726e-05,4.619001036920808e-05,2.9395373636361585e-07
1.8800000000000001,1.6632720424855367e-05,4.8007191189051945e-05,3.17839961730352e-07
1.8900000000000001,1.70490207062128e-05,4.988893483015976e-05,3.4357569575220386e-07
1.9000000000000001,1.747493058039644e-05,5.183722890693238e-05,3.7129630228992633e-07
1.9100000000000001,1.791064894829069e-05,5.3854109319349644e-05,4.0114640346801116e-07
1.92,1.835637820362165e-05,5.594166089908731e-05,4.3328046123527225e-07
1.93,1.8812324277812555e-05,5.810201804170951e-05,4.6786339150378526e-07
1.94,1.9278696684974773e-05,6.0337365323710934e-05,5.050712123992963e-07
1.95,1.97557085670258e-05,6.264993810310026e-05,5.450917282077303e-07
1.96,2.0243576738916715e-05,6.50420231022486e-05,5.881252506554018e-07
1.97,2.0742521733955462e-05,6.751595897160652e-05,6.343853592088576e-07
1.98,2.1252767849214617e-05,7.00741368329401e-05,6.840997021353003e-07
1.99,2.1774543191002674e-05,7.271900080065946e-05,7.375108401123626e-07
2.0,2.2308079720388982e-05,7.54530484797391e-05,7.948771342290076e-07
2.0100000000000002,2.2853613298762717e-05,7.827883143880977e-05,8.56473680267941e-07
2.02,2.3411383733408517e-05,8.11989556568159e-05,9.225932912084795e-07
2.0300000000000002,2.3981634823088777e-05,8.421608194176224e-05,9.935475299398623e-07
2.04,2.456461440360459e-05,8.733292631987634e-05,1.0696677942167464e-06
2.05,2.516057439332421e-05,9.055226039361811e-05,1.1513064559383127e-06
2.06,2.5769770838660518e-05,9.387691166685317e-05,1.2388380568738041e-06
2.07,2.6392463959473915e-05,9.730976383552033e-05,1.332660562997119e-06
2.08,2.702891819438526e-05,0.0001008537570420444,1.4331966796340438e-06
2.09,2.7679402245978585e-05,0.0001045118880918179,1.5408952296622183e-06
2.1,2.834418912586912e-05,0.00010828721062989318,1.6562325970319136e-06
2.11,2.902355619961807e-05,0.00011218283527615043,1.7797142379123688e-06
2.12,2.9717785231474475e-05,0.00011620192971709675,1.9118762617874442e-06
2.13,3.042716242891932e-05,0.00012034771875248137,2.053287084851584e-06
2.14,3.1151978486985393e-05,0.00012462348429479174,2.2045491580686703e-06
2.15,3.189252863234049e-05,0.00012903256531984056,2.366300772270976e-06
2.16,3.2649112667095846e-05,0.00013357835776645776,2.539217942684516e-06
2.17,3.342203501232792e-05,0.00013826431438341188,2.724016375259262e-06
2.18,3.421160475128026e-05,0.00014309394452164921,2.921453517186494e-06
2.19,3.50181356722248e-05,0.00014807081386982864,3.132330693967507e-06
2.2,3.584194631095163e-05,0.00015319854413129138,3.35749533537503e-06
